Histogram (GPU):
6.671875 3084 
6.703125 3147 
6.734375 3015 
6.765625 2910 
6.796875 2877 
6.828125 2747 
6.859375 2661 
6.890625 2615 
6.921875 2396 
6.953125 2466 
6.984375 2338 
7.015625 2329 
7.046875 2251 
7.078125 2102 
7.109375 2110 
7.140625 2047 
7.171875 2007 
7.203125 1883 
7.234375 1835 
7.265625 1812 
7.296875 1728 
7.328125 1738 
7.359375 1651 
7.390625 1559 
7.421875 1499 
7.453125 1530 
7.484375 1443 
7.515625 1460 
7.546875 1351 
7.578125 1285 
7.609375 1260 
7.640625 1296 
7.671875 1137 
7.703125 1111 
7.734375 1153 
7.765625 1077 
7.796875 1023 
7.828125 1004 
7.859375 951 
7.890625 946 
7.921875 903 
7.953125 876 
7.984375 954 
8.015625 847 
8.046875 807 
8.078125 763 
8.109375 784 
8.140625 752 
8.171875 785 
8.203125 710 
8.234375 723 
8.265625 610 
8.296875 649 
8.328125 554 
8.359375 607 
8.390625 616 
8.421875 571 
8.453125 530 
8.484375 545 
8.515625 490 
8.546875 525 
8.578125 468 
8.609375 470 
8.640625 477 
8.671875 434 
8.703125 383 
8.734375 398 
8.765625 427 
8.796875 377 
8.828125 396 
8.859375 373 
8.890625 341 
8.921875 383 
8.953125 332 
8.984375 321 
9.015625 308 
9.046875 311 
9.078125 301 
9.109375 298 
9.140625 261 
9.171875 260 
9.203125 243 
9.234375 247 
9.265625 269 
9.296875 231 
9.328125 195 
9.359375 213 
9.390625 222 
9.421875 185 
9.453125 195 
9.484375 195 
9.515625 182 
9.546875 198 
9.578125 172 
9.609375 178 
9.640625 144 
9.671875 175 
9.703125 161 
9.734375 147 
9.765625 160 
9.796875 140 
9.828125 120 
9.859375 135 
9.890625 138 
9.921875 135 
9.953125 115 
9.984375 113 
10.015625 97 
10.046875 130 
10.078125 98 
10.109375 98 
10.140625 90 
10.171875 108 
10.203125 83 
10.234375 99 
10.265625 90 
10.296875 94 
10.328125 89 
10.359375 79 
10.390625 77 
10.421875 94 
10.453125 100 
10.484375 85 
10.515625 71 
10.546875 61 
10.578125 66 
10.609375 71 
10.640625 61 
10.671875 56 
10.703125 56 
10.734375 70 
10.765625 56 
10.796875 60 
10.828125 57 
10.859375 61 
10.890625 54 
10.921875 53 
10.953125 55 
10.984375 41 
11.015625 34 
11.046875 48 
11.078125 33 
11.109375 48 
11.140625 49 
11.171875 34 
11.203125 35 
11.234375 26 
11.265625 33 
11.296875 38 
11.328125 35 
11.359375 29 
11.390625 28 
11.421875 26 
11.453125 24 
11.484375 29 
11.515625 30 
11.546875 35 
11.578125 21 
11.609375 17 
11.640625 23 
11.671875 20 
11.703125 19 
11.734375 22 
11.765625 22 
11.796875 11 
11.828125 27 
11.859375 18 
11.890625 16 
11.921875 11 
11.953125 14 
11.984375 18 
12.015625 14 
12.046875 12 
12.078125 24 
12.109375 10 
12.140625 8 
12.171875 11 
12.203125 22 
12.234375 9 
12.265625 14 
12.296875 14 
12.328125 2 
12.359375 8 
12.390625 13 
12.421875 9 
12.453125 10 
12.484375 14 
12.515625 9 
12.546875 13 
12.578125 5 
12.609375 8 
12.640625 8 
12.671875 6 
12.703125 9 
12.734375 13 
12.765625 11 
12.796875 7 
12.828125 8 
12.859375 9 
12.890625 4 
12.921875 5 
12.953125 2 
12.984375 5 
13.015625 2 
13.046875 9 
13.078125 4 
13.109375 9 
13.140625 2 
13.171875 4 
13.203125 4 
13.234375 5 
13.265625 3 
13.296875 4 
13.328125 2 
13.359375 1 
13.390625 8 
13.421875 2 
13.453125 2 
13.484375 3 
13.515625 4 
13.546875 3 
13.578125 1 
13.609375 3 
13.640625 4 
13.671875 3 
13.703125 1 
13.734375 2 
13.765625 6 
13.796875 4 
13.828125 4 
13.859375 4 
13.890625 5 
13.921875 3 
13.953125 3 
13.984375 1 
14.015625 1 
14.046875 0 
14.078125 2 
14.109375 0 
14.140625 2 
14.171875 7 
14.203125 5 
14.234375 2 
14.265625 3 
14.296875 0 
14.328125 1 
14.359375 1 
14.390625 1 
14.421875 1 
14.453125 2 
14.484375 1 
14.515625 1 
14.546875 2 
14.578125 1 
14.609375 0 
14.640625 3 
14.671875 1 
14.703125 0 
14.734375 1 
14.765625 3 
14.796875 1 
14.828125 0 
14.859375 1 
14.890625 1 
14.921875 0 
14.953125 1 
14.984375 0 
15.015625 0 
15.046875 0 
15.078125 0 
15.109375 1 
15.140625 1 
15.171875 3 
15.203125 0 
15.234375 1 
15.265625 0 
15.296875 0 
15.328125 0 
15.359375 1 
15.390625 0 
15.421875 0 
15.453125 3 
15.484375 0 
15.515625 0 
15.546875 0 
15.578125 0 
15.609375 0 
15.640625 0 
15.671875 0 
15.703125 0 
15.734375 0 
15.765625 0 
15.796875 0 
15.828125 0 
15.859375 1 
15.890625 0 
15.921875 0 
15.953125 1 
15.984375 0 
16.015625 0 
16.046875 1 
16.078125 0 
16.109375 0 
16.140625 0 
16.171875 0 
16.203125 0 
16.234375 1 
16.265625 0 
16.296875 1 
16.328125 0 
16.359375 0 
16.390625 0 
16.421875 0 
16.453125 0 
16.484375 0 
16.515625 0 
16.546875 0 
16.578125 0 
16.609375 0 
16.640625 0 
16.671875 0 
16.703125 0 
16.734375 1 
16.765625 2 
16.796875 0 
16.828125 0 
16.859375 1 
16.890625 1 
16.921875 0 
16.953125 0 
16.984375 0 
17.015625 1 
17.046875 0 
17.078125 0 
17.109375 1 
17.140625 0 
17.171875 0 
17.203125 0 
17.234375 0 
17.265625 0 
17.296875 0 
17.328125 0 
17.359375 0 
17.390625 1 
17.421875 0 
17.453125 0 
17.484375 0 
17.515625 0 
17.546875 0 
17.578125 0 
17.609375 0 
17.640625 0 
17.671875 0 
17.703125 0 
17.734375 1 
17.765625 0 
17.796875 0 
17.828125 0 
17.859375 0 
17.890625 1 
17.921875 0 
17.953125 0 
17.984375 0 
18.015625 0 
18.046875 0 
18.078125 0 
18.109375 0 
18.140625 0 
18.171875 0 
18.203125 0 
18.234375 0 
18.265625 0 
18.296875 0 
18.328125 0 
18.359375 0 
18.390625 0 
18.421875 0 
18.453125 0 
18.484375 0 
18.515625 0 
18.546875 0 
18.578125 0 
18.609375 0 
18.640625 0 
18.671875 0 
18.703125 0 
18.734375 0 
18.765625 0 
18.796875 0 
18.828125 0 
18.859375 0 
18.890625 0 
18.921875 0 
18.953125 0 
18.984375 0 
19.015625 0 
19.046875 0 
19.078125 0 
19.109375 0 
19.140625 0 
19.171875 0 
19.203125 0 
19.234375 0 
19.265625 0 
19.296875 0 
19.328125 0 
19.359375 0 
19.390625 0 
19.421875 0 
19.453125 0 
19.484375 0 
19.515625 0 
19.546875 0 
19.578125 0 
19.609375 0 
19.640625 0 
19.671875 0 
19.703125 0 
19.734375 0 
19.765625 0 
19.796875 0 
19.828125 0 
19.859375 0 
19.890625 0 
19.921875 0 
19.953125 0 
19.984375 0 
20.015625 0 
20.046875 0 
20.078125 0 
20.109375 0 
20.140625 0 
20.171875 0 
20.203125 0 
20.234375 0 
20.265625 0 
20.296875 0 
20.328125 0 
20.359375 0 
20.390625 0 
20.421875 0 
20.453125 0 
20.484375 0 
20.515625 0 
20.546875 0 
20.578125 0 
20.609375 0 
20.640625 0 
20.671875 0 
20.703125 0 
20.734375 0 
20.765625 0 
20.796875 0 
20.828125 0 
20.859375 0 
20.890625 0 
20.921875 0 
20.953125 0 
20.984375 0 
21.015625 0 
21.046875 0 
21.078125 0 
21.109375 0 
21.140625 0 
21.171875 0 
21.203125 0 
21.234375 0 
21.265625 0 
21.296875 0 
21.328125 0 
21.359375 0 
21.390625 0 
21.421875 0 
21.453125 0 
21.484375 0 
21.515625 0 
21.546875 0 
21.578125 0 
21.609375 0 
21.640625 0 
21.671875 0 
21.703125 0 
21.734375 0 
21.765625 0 
21.796875 0 
21.828125 0 
21.859375 0 
21.890625 0 
21.921875 0 
21.953125 0 
21.984375 0 
22.015625 0 
22.046875 0 
22.078125 0 
22.109375 0 
22.140625 0 
22.171875 0 
22.203125 0 
22.234375 0 
22.265625 0 
22.296875 0 
22.328125 0 
22.359375 0 
22.390625 0 
22.421875 0 
22.453125 0 
22.484375 0 
22.515625 0 
22.546875 0 
22.578125 0 
22.609375 0 
22.640625 0 
22.671875 0 
22.703125 0 
22.734375 0 
22.765625 0 
22.796875 0 
22.828125 0 
22.859375 0 
22.890625 0 
22.921875 0 
22.953125 0 
22.984375 0 
23.015625 0 
23.046875 0 
23.078125 0 
23.109375 0 
23.140625 0 
23.171875 0 
23.203125 0 
23.234375 0 
23.265625 0 
23.296875 0 
23.328125 0 
23.359375 0 
23.390625 0 
23.421875 0 
23.453125 0 
23.484375 0 
23.515625 0 
23.546875 0 
23.578125 0 
23.609375 0 
23.640625 0 
23.671875 0 
23.703125 0 
23.734375 0 
23.765625 0 
23.796875 0 
23.828125 0 
23.859375 0 
23.890625 0 
23.921875 0 
23.953125 0 
23.984375 0 
24.015625 0 
24.046875 0 
24.078125 0 
24.109375 0 
24.140625 0 
24.171875 0 
24.203125 0 
24.234375 0 
24.265625 0 
24.296875 0 
24.328125 0 
24.359375 0 
24.390625 0 
24.421875 0 
24.453125 0 
24.484375 0 
24.515625 0 
24.546875 0 
24.578125 0 
24.609375 0 
24.640625 0 
24.671875 0 
24.703125 0 
24.734375 0 
24.765625 0 
24.796875 0 
24.828125 0 
24.859375 0 
24.890625 0 
24.921875 0 
24.953125 0 
24.984375 0 
25.015625 0 
25.046875 0 
25.078125 0 
25.109375 0 
25.140625 0 
25.171875 0 
25.203125 0 
25.234375 0 
25.265625 0 
25.296875 0 
25.328125 0 
25.359375 0 
25.390625 0 
25.421875 0 
25.453125 0 
25.484375 0 
25.515625 0 
25.546875 0 
25.578125 0 
25.609375 0 
25.640625 0 
25.671875 0 
25.703125 0 
25.734375 0 
25.765625 0 
25.796875 0 
25.828125 0 
25.859375 0 
25.890625 0 
25.921875 0 
25.953125 0 
25.984375 0 
26.015625 0 
26.046875 0 
26.078125 0 
26.109375 0 
26.140625 0 
26.171875 0 
26.203125 0 
26.234375 0 
26.265625 0 
26.296875 0 
26.328125 0 
26.359375 0 
26.390625 0 
26.421875 0 
26.453125 0 
26.484375 0 
26.515625 0 
26.546875 0 
26.578125 0 
26.609375 0 
26.640625 0 
26.671875 0 
26.703125 0 
26.734375 0 
26.765625 0 
26.796875 0 
26.828125 0 
26.859375 0 
26.890625 0 
26.921875 0 
26.953125 0 
26.984375 0 
27.015625 0 
27.046875 0 
27.078125 0 
27.109375 0 
27.140625 0 
27.171875 0 
27.203125 0 
27.234375 0 
27.265625 0 
27.296875 0 
27.328125 0 
27.359375 0 
27.390625 0 
27.421875 0 
27.453125 0 
27.484375 0 
27.515625 0 
27.546875 0 
27.578125 0 
27.609375 0 
27.640625 0 
27.671875 0 
27.703125 0 
27.734375 0 
27.765625 0 
27.796875 0 
27.828125 0 
27.859375 0 
27.890625 0 
27.921875 0 
27.953125 0 
27.984375 0 
28.015625 0 
28.046875 0 
28.078125 0 
28.109375 0 
28.140625 0 
28.171875 0 
28.203125 0 
28.234375 0 
28.265625 0 
28.296875 0 
28.328125 0 
28.359375 0 
28.390625 0 
28.421875 0 
28.453125 0 
28.484375 0 
28.515625 0 
28.546875 0 
28.578125 0 
28.609375 0 
28.640625 0 
28.671875 0 
28.703125 0 
28.734375 0 
28.765625 0 
28.796875 0 
28.828125 0 
28.859375 0 
28.890625 0 
28.921875 0 
28.953125 0 
28.984375 0 
29.015625 0 
29.046875 0 
29.078125 0 
29.109375 0 
29.140625 0 
29.171875 0 
29.203125 0 
29.234375 0 
29.265625 0 
29.296875 0 
29.328125 0 
29.359375 0 
29.390625 0 
29.421875 0 
29.453125 0 
29.484375 0 
29.515625 0 
29.546875 0 
29.578125 0 
29.609375 0 
29.640625 0 
29.671875 0 
29.703125 0 
29.734375 0 
29.765625 0 
29.796875 0 
29.828125 0 
29.859375 0 
29.890625 0 
29.921875 0 
29.953125 0 
29.984375 0 
30.015625 0 
30.046875 0 
30.078125 0 
30.109375 0 
30.140625 0 
30.171875 0 
30.203125 0 
30.234375 0 
30.265625 0 
30.296875 0 
30.328125 0 
30.359375 0 
30.390625 0 
30.421875 0 
30.453125 0 
30.484375 0 
30.515625 0 
30.546875 0 
30.578125 0 
30.609375 0 
30.640625 0 
30.671875 0 
30.703125 0 
30.734375 0 
30.765625 0 
30.796875 0 
30.828125 0 
30.859375 0 
30.890625 0 
30.921875 0 
30.953125 0 
30.984375 0 
31.015625 0 
31.046875 0 
31.078125 0 
31.109375 0 
31.140625 0 
31.171875 0 
31.203125 0 
31.234375 0 
31.265625 0 
31.296875 0 
31.328125 0 
31.359375 0 
31.390625 0 
31.421875 0 
31.453125 0 
31.484375 0 
31.515625 0 
31.546875 0 
31.578125 0 
31.609375 0 
31.640625 0 
31.671875 0 
31.703125 0 
31.734375 0 
31.765625 0 
31.796875 0 
31.828125 0 
31.859375 0 
31.890625 0 
31.921875 0 
31.953125 0 
31.984375 0 
